Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile	Ribohits.summed	Ribohits.summed.length	ISD.p1.iupred2	ISD.p2.iupred2	Length.p1	Length.p2	RSA.p1	RSA.p2	Disprop.p1	Disprop.p2	ISD.p2.grafted	tai.4.log
YDR050C	1	3408	0.1969	0.3696875	0.5617325	0.186361693548387	0.2033	0.008	2	4	7	0.407	0.366	76	0	328	4.37333333333333	0.0286	0.045	6	3	0.214666666666667	0.211	0.2055	0.226333333333333	0.2101075	NA
YDR051C	1	97.6	0.1122	0.13659	0.318985	0.30062874251497	0.2311	0.0457	8	13	3	0.253	0.226	59	0	3	0.0517241379310345	0.3328	0.0312	2	12	0.2105	0.2415	0.488	0.31025	0.0780525	-0.770444108447374
YDR052C	1	4.19	0.1508	0.2514625	0.468605	0.459829261363636	0.1735	0.0253	10	8	5	0.388555555555556	0.254	240	0	12	0.0502092050209205	0.3577	0.3708	4	7	0.31775	0.316571428571429	0.40075	0.448857142857143	0.4815725	-1.16115876739339
YDR054C	1	94.2	0.449	0.3375	0.5541	0.515973898305085	0.6871	0.1449	53	11	5	0.390942307692308	0.286346153846154	486	0	182	0.375257731958763	0.5709	0.4661	4	10	0.41675	0.3752	0.6555	0.5216	0.5279075	-1.1667769813564
YDR055W	1	107	0.061	0.0815575	0.2402075	0.215567342342342	0.1601	0.0383	12	3	23	0.279454545454545	0.244818181818182	128	0	58	0.456692913385827	0.3291	0.1752	22	2	0.265636363636364	0.285	0.382090909090909	0.536	0.3662775	-0.56138210239722
YDR057W	1	6.28	0.3885	0.2949075	0.510305	0.263601291512915	0.3978	0.2142	8	41	6	0.342	0.267857142857143	187	0	7	0.0376344086021505	0.4638	0.0512	5	40	0.2982	0.24245	0.478	0.3027	0.034485	-2.21134972720043
YDR058C	1	2.67	0.0221	0.1566975	0.335695	0.138627607361963	0.0368	0.099	6	19	11	0.3838	0.2318	131	0	1	0.00769230769230769	0.0497	0.004	10	18	0.2625	0.187333333333333	0.3566	0.228	0.0166675	-1.06005718070341
YDR059C	1	37.3	0.0301	0.1567375	0.3397125	0.225574324324324	0.1764	0.0275	7	5	2	0.2435	0.210666666666667	109	0	7	0.0648148148148148	0.1611	0.0574	1	4	0.366	0.22075	0.407	0.25175	0.2434775	-0.597460160103962
YDR060W	1	212	0.5331	0.1678875	0.34981	0.414819317073171	0.7599	0.347	6	15	3	0.2234	0.218	89	0	17	0.193181818181818	0.713	0.6634	2	14	0.4035	0.276857142857143	0.491	0.346071428571429	0.405355	-1.76625079955599
YDR062W	1	654	0.0753	0.21696	0.4131775	0.158296078431373	0.2953	0.1729	6	4	8	0.314	0.2114	288	0	5	0.0174216027874564	0.0213	0.1244	7	3	0.214571428571429	0.25	0.351285714285714	0.267666666666667	0.2882825	-1.02784896274266
YDR063W	1	52.8	0.2549	0.221335	0.4147875	0.329944966442953	0.537	0.0208	5	2	8	0.4335	0.2225	76	0	9	0.12	0.105	0.3948	7	1	0.227857142857143	0.143	0.317285714285714	0.263	0.26904	-1.29584422721442
YDR064W	1	226	0.206	0.2990825	0.4932925	0.200950331125828	0.1804	0.0017	3	27	18	0.488	0.2105	108	0	346	3.23364485981308	0.0051	0.0045	17	26	0.207058823529412	0.201615384615385	0.265117647058824	0.222653846153846	0.01015	NA
YDR065W	1	16.2	0.0755	0.2188375	0.438105	0.175895616438356	0.057	0.0121	22	6	11	0.443095238095238	0.257761904761905	585	0	3	0.00513698630136986	0.0537	0.0399	10	5	0.281	0.2606	0.3953	0.4928	0.301595	-0.814585177113414
YDR068W	0	54.7	0.2066	0.05477	0.17536	0.507172903225807	0.7544	0.0795	6	NA	2	0.1354	0.133	93	1	0	0	0.7916	NA	1	NA	0.411	NA	0.781	NA	NA	-0.938680226757981
YDR069C	1	12.5	0.0023	0.15811	0.32426	0.250963066954644	0.009	0.0249	3	6	5	0.1035	0.1305	304	0	3	0.0099009900990099	0.0135	0.0151	4	5	0.29775	0.2658	0.5045	0.2834	0.275405	NA
YDR071C	1	158	0.0931	0.1385925	0.325625	0.185340314136126	0.3073	0.0084	11	3	5	0.2814	0.2109	80	0	31	0.392405063291139	0.1806	0.4474	4	2	0.23225	0.3175	0.39125	0.333	0.4194725	-0.871097118228814
YDR072C	1	6.54	0.0088	0.09835	0.2711425	0.121334535104364	0.0064	0.0063	24	6	3	0.27	0.234434782608696	93	0	14	0.152173913043478	0.0035	0.0049	2	5	0.254	0.2702	0.2945	0.3836	0.3143125	-1.12539837173701
YDR073W	0	11.3	0.0142	0.0312825	0.12748	0.390547928994083	0.0056	0.1844	40	2	NA	0.313282051282051	0.219025641025641	255	1	0	0	NA	0.005	NA	1	NA	0.411	NA	0.781	0.3779175	-0.649701941131618
YDR074W	1	326	0.0649	0.0802825	0.2154425	0.245914174107143	0.2627	0.0168	30	5	10	0.299758620689655	0.212862068965517	256	0	66	0.258823529411765	0.1471	0.3137	9	4	0.259555555555556	0.29825	0.409111111111111	0.491	0.3392125	-1.36776474532736
YDR075W	1	28.8	0.037	0.1212275	0.314305	0.125549675324675	0.1274	0.0107	26	3	21	0.33652	0.25652	160	0	6	0.0377358490566038	0.0034	0.0484	20	2	0.1984	0.239	0.2537	0.201	0.257955	-1.11196702189797
YDR076W	0	10.7	NA	NA	NA	0.205924630541872	0.5586	0.0975	1	4	36	NA	NA	1099	0	0	0	0.5601	0.2478	35	3	0.318914285714286	0.238	0.454114285714286	0.313666666666667	0.2200825	NA
YDR077W	1	168	0.034	0.0354275	0.1498475	0.649586390532544	0.1598	0.0085	49	5	11	0.349395833333333	0.221	331	0	1521	4.60909090909091	0.2415	0.195	10	4	0.2721	0.25575	0.4554	0.3555	0.3862975	-1.98227704423189
YDR078C	0	1.17	0.0707	0.2885175	0.513055	0.0626887892376682	0.017	0.0439	15	29	3	0.511285714285714	0.269857142857143	98	0	0	0	0.023	0.0406	2	28	0.4035	0.260821428571429	0.491	0.405678571428571	0.178605	-1.27977326229217
YDR079C-A	1	3.79	0.0308	0.0376825	0.15711	0.283461111111111	0.5829	0.0602	15	13	12	0.276214285714286	0.215642857142857	211	0	18	0.0857142857142857	0.1166	0.0877	11	12	0.212090909090909	0.2055	0.268272727272727	0.33875	0.065815	-1.06922757236206
YDR079W	1	10.7	0.0752	0.098045	0.2566025	0.196785585585586	0.3038	0.0336	23	6	13	0.354590909090909	0.2465	212	0	46	0.218009478672986	0.2835	0.441	12	5	0.30075	0.3658	0.3945	0.497	0.532325	-0.966582520168324
YDR080W	0	14.6	0.0149	0.10456	0.260305	0.213635887096774	0.1655	0.0398	6	NA	NA	0.1554	0.1846	57	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.39832206261626
YDR081C	0	10	0.1275	0.24268	0.4252025	0.378958054054054	0.4267	0.1039	2	NA	NA	0.09	0.125	34	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR082W	0	1.2	NA	NA	NA	0.154375910931174	0.0584	0.0362	NA	3	10	NA	NA	139	1	0	0	0.2624	0.011	9	2	0.295666666666667	0.113	0.419111111111111	0.045	0.174535	NA
YDR083W	0	46.4	0.0064	0.01662	0.0927225	0.353031887755102	0.0799	0.0059	29	10	NA	0.2605	0.199285714285714	91	1	0	0	NA	0.0413	NA	9	NA	0.196111111111111	NA	0.322777777777778	0.095045	-2.81374392705832
YDR084C	1	15.5	0.0068	0.0892175	0.24836	0.0545407035175879	0.0302	0.0518	14	43	7	0.310076923076923	0.220461538461538	200	0	32	0.160804020100503	0.0188	0.0292	6	42	0.2415	0.2665	0.397166666666667	0.38302380952381	0.1014425	-1.57792552371107
YDR085C	1	1.42	0.0316	0.218895	0.415935	0.451877741935484	0.1214	0.0086	6	3	5	0.2604	0.205	83	0	1	0.0121951219512195	0.0335	0.0281	4	2	0.24425	0.2325	0.393	0.413	0.2694775	-0.722653982082085
YDR086C	1	55	0.022	0.389695	0.5867975	0.1910825	0.0066	0.119	3	9	22	0.491	0.4035	200	0	140	0.703517587939699	0.4286	0.1065	21	8	0.34352380952381	0.387125	0.513761904761905	0.551375	0.4680625	NA
YDR087C	1	98.3	0.0647	0.0477875	0.1720075	0.237492446043165	0.7782	0.0395	9	8	6	0.249125	0.18375	92	0	20	0.21978021978022	0.4198	0.4546	5	7	0.2892	0.227	0.4462	0.451857142857143	0.31622	-1.88511254678394
YDR088C	1	18.5	0.1327	0.1154575	0.28746	0.570950785340314	0.6317	0.2745	10	5	26	0.431555555555556	0.219333333333333	186	0	2	0.0108108108108108	0.5016	0.1926	25	4	0.29096	0.17875	0.42148	0.2515	0.143855	-1.22114643480103
YDR091C	1	326	0.1451	0.229485	0.4481225	0.177182236842105	0.164	0.0334	23	18	25	0.400090909090909	0.280409090909091	341	0	33	0.0970588235294118	0.0828	0.0242	24	17	0.259208333333333	0.228235294117647	0.319708333333333	0.341411764705882	0.08614	-0.77771119386969
YDR092W	1	100	0.0644	0.07611	0.2294725	0.311982352941176	0.3475	0.0222	12	5	10	0.344636363636364	0.235090909090909	95	0	20	0.212765957446809	0.1011	0.1125	9	4	0.211111111111111	0.16775	0.242555555555556	0.289	0.1585475	-1.79815354796606
YDR097C	0	55	NA	NA	NA	0.316745249597424	0.0679	0.0028	NA	16	9	NA	NA	60	1	0	0	0.0381	0.0051	8	15	0.22575	0.193266666666667	0.244625	0.2224	0.0147725	NA
YDR099W	1	821	0.9546	0.4205675	0.6145125	0.422543956043956	0.9439	0.3092	3	19	10	0.5875	0.386	228	0	108	0.475770925110132	0.7463	0.6492	9	18	0.349666666666667	0.275833333333333	0.538444444444444	0.406	0.4039825	NA
YDR100W	1	56.3	0.1092	0.2412625	0.4240325	0.0278601398601399	0.1901	0.0501	2	33	21	0.113	0.187	127	0	38	0.301587301587302	0.0512	0.0727	20	32	0.2619	0.26546875	0.4063	0.4136875	0.271415	NA
YDR101C	1	508	0.2315	0.14613	0.342275	0.2803	0.7135	0.0609	12	11	7	0.424272727272727	0.262818181818182	118	0	29	0.247863247863248	0.4663	0.2505	6	10	0.271333333333333	0.2342	0.302	0.3573	0.151855	-0.964044427302319
YDR103W	0	19.9	0.2535	0.3103125	0.509615	0.330864994547437	0.4071	0.28	4	9	NA	0.354	0.224	47	1	0	0	NA	0.1958	NA	8	NA	0.25225	NA	0.356	0.2141925	NA
YDR105C	1	12.2	0.0292	0.287175	0.48035	0.0928416490486258	0.0244	0.0035	3	17	2	0.2485	0.2455	85	0	17	0.202380952380952	0.0592	0.0063	1	16	0.446	0.2336875	0.588	0.2899375	0.0764625	NA
YDR106W	0	1.2	NA	NA	NA	0.0765521126760563	0.0365	0.132	NA	6	NA	NA	NA	48	1	0	0	NA	0.0314	NA	5	NA	0.182	NA	0.2498	0.152415	NA
YDR107C	1	1.89	0.003	0.162765	0.3461375	0.102630505952381	0.0018	0.0019	7	9	26	0.2985	0.229666666666667	189	0	7	0.0372340425531915	0.0017	0.0035	25	8	0.2078	0.237375	0.2798	0.451375	0.155985	-0.89348474910589
YDR108W	1	79.5	0.014	0.0806025	0.22791	0.191020916905444	0.3435	0.0086	8	24	18	0.265428571428571	0.211428571428571	88	0	12	0.137931034482759	0.0205	0.009	17	23	0.240176470588235	0.22	0.320176470588235	0.272391304347826	0.0312125	-1.75541409843015
YDR110W	1	17	NA	NA	NA	0.374241166077739	0.8854	0.2442	1	7	4	NA	NA	184	0	3	0.0163934426229508	0.8318	0.4631	3	6	0.281	0.208	0.287	0.240833333333333	0.127795	NA
YDR113C	0	1.21	NA	NA	NA	0.678013404825737	0.717	0.0577	NA	20	NA	NA	NA	73	1	0	0	NA	0.221	NA	19	NA	0.226421052631579	NA	0.291526315789474	0.1334075	NA
YDR116C	0	97.9	0.016	0.0770775	0.2308925	0.315359298245614	0.2442	0.0114	12	NA	NA	0.312454545454545	0.207363636363636	118	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.18610574786543
YDR117C	0	75.6	0.1131	0.092375	0.2370075	0.243691150442478	0.3469	0.0675	5	8	11	0.09575	0.1405	44	0	0	0	0.1334	0.2709	10	7	0.2341	0.225571428571429	0.2945	0.230285714285714	0.1793725	-1.01100106521267
YDR120C	1	247	0.6436	0.256925	0.44788	0.322976315789474	0.7733	0.163	3	11	5	0.449	0.2735	209	0	23	0.110576923076923	0.716	0.4281	4	10	0.3225	0.2476	0.34925	0.3578	0.1945775	NA
YDR121W	0	77.9	0.5685	0.27687	0.5029525	0.514419897959184	0.7461	0.2251	18	NA	8	0.408705882352941	0.241470588235294	109	1	0	0	0.8475	NA	7	NA	0.269571428571429	NA	0.495857142857143	NA	NA	-1.65300882121241
YDR122W	1	22.8	0.2715	0.288025	0.50862	0.500494830827068	0.146	0.139	13	30	2	0.349	0.25025	165	0	1	0.00609756097560976	0.2258	0.121	1	29	0.446	0.258137931034483	0.588	0.385103448275862	0.1493375	-1.28744066805622
YDR123C	1	8.33	0.4222	0.3238775	0.53048	0.612260197368421	0.4908	0.0909	6	18	30	0.3872	0.2448	615	0	16	0.0260586319218241	0.1121	0.0843	29	17	0.236758620689655	0.228941176470588	0.35451724137931	0.354823529411765	0.07114	-1.12539837173701
YDR127W	0	456	NA	NA	NA	0.205700755667506	0.1204	0.0059	NA	NA	3	NA	NA	71	1	0	0	0.2434	NA	2	NA	0.3625	NA	0.5295	NA	NA	NA
YDR129C	1	252	0.2007	0.389895	0.5947125	0.252661838006231	0.0211	0.0062	7	25	42	0.482666666666667	0.299166666666667	145	0	182	1.26388888888889	0.0972	0.0121	41	24	0.250975609756098	0.216583333333333	0.410585365853658	0.347583333333333	0.0520675	-0.643810965936803
YDR130C	1	2.95	0.3476	0.1971475	0.4047625	0.547041237113402	0.4054	0.0457	12	26	24	0.406181818181818	0.259	269	0	7	0.0261194029850746	0.2206	0.0626	23	25	0.244913043478261	0.22504	0.337391304347826	0.33704	0.06361	-1.4431763985279
YDR135C	1	36.6	0.3044	0.3308525	0.5584875	0.117136831683168	0.1005	0.2927	15	20	3	0.442285714285714	0.263928571428571	105	0	6	0.0576923076923077	0.1974	0.1373	2	19	0.2965	0.259736842105263	0.3915	0.311421052631579	0.161035	-1.23869749946935
YDR137W	0	8.06	0.0144	0.121085	0.29745	0.288128657616893	0.0305	0.0124	10	NA	3	0.292	0.196666666666667	145	1	0	0	0.1012	NA	2	NA	0.405	NA	0.6265	NA	NA	-1.57991756612336
YDR138W	0	35.1	0.3838	0.052545	0.1788575	0.278504654255319	0.8888	0.3936	10	NA	5	0.223444444444444	0.188222222222222	55	1	0	0	0.8383	NA	4	NA	0.28725	NA	0.55225	NA	NA	-1.08576252298819
YDR139C	1	18.5	0.2834	0.2645125	0.490825	0.220193506493506	0.167	0.1404	23	45	16	0.419545454545455	0.286272727272727	173	0	81	0.47093023255814	0.0483	0.1645	15	44	0.235266666666667	0.266681818181818	0.2724	0.410159090909091	0.1904825	-1.53054319504071
YDR140W	1	31.8	0.1223	0.3365775	0.550085	0.1165407239819	0.0455	0.0306	10	9	31	0.39	0.281333333333333	105	0	11	0.105769230769231	0.0166	0.0511	30	8	0.2476	0.247	0.3097	0.426875	0.232555	-1.0719900314087
YDR142C	1	6.56	0.0034	0.01564	0.096605	0.157306666666667	0.0714	0.0034	15	13	31	0.243142857142857	0.206714285714286	125	0	1	0.00806451612903226	0.0105	0.0079	30	12	0.232433333333333	0.183083333333333	0.321033333333333	0.209583333333333	0.03802	-1.09344002885954
YDR143C	1	3.63	0.0542	0.008745	0.061925	0.740033606557377	0.9651	0.0492	57	9	6	0.252964285714286	0.199607142857143	193	0	6	0.03125	0.8704	0.8177	5	8	0.2988	0.263375	0.3754	0.39725	0.3749625	-2.51654470786101
YDR144C	1	8.72	NA	NA	NA	0.2506	0.1076	0.1013	1	11	23	NA	NA	82	0	22	0.271604938271605	0.1394	0.104	22	10	0.264409090909091	0.2218	0.408090909090909	0.3548	0.1616325	NA
YDR145W	1	43.3	0.4121	0.2999275	0.517665	0.619600371057514	0.611	0.0358	15	18	37	0.4165	0.260357142857143	200	0	28	0.14070351758794	0.1412	0.2497	36	17	0.240944444444444	0.256	0.335972222222222	0.431705882352941	0.1734225	-0.975939121548103
YDR147W	0	30.9	NA	NA	NA	0.203581647940075	0.0617	0.0069	NA	NA	NA	NA	NA	38	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR148C	1	117	0.006	0.0192125	0.10667	0.423897408207343	0.097	0.0028	35	2	13	0.297794117647059	0.211088235294118	283	0	127	0.450354609929078	0.0503	0.0405	12	1	0.247	0.125	0.345833333333333	0.09	0.24268	-0.681275372462691
YDR151C	1	1.77	0.3692	0.3347925	0.5449575	0.410743384615385	0.3872	0.0024	8	40	43	0.397	0.273714285714286	317	0	6	0.0189873417721519	0.0433	0.1415	42	39	0.237952380952381	0.254102564102564	0.372952380952381	0.387153846153846	0.124655	-1.04365786008195
YDR152W	0	284	0.0994	0.0606975	0.19078	0.402632075471698	0.52	0.0427	8	NA	6	0.237	0.164571428571429	43	1	0	0	0.3193	NA	5	NA	0.2306	NA	0.2594	NA	NA	-2.03806293206044
YDR153C	0	96.8	NA	NA	NA	0.479312895377129	0.3551	0.2447	NA	29	34	NA	NA	121	1	0	0	0.2222	0.0835	33	28	0.231090909090909	0.231928571428571	0.360666666666667	0.345214285714286	0.047195	NA
YDR158W	0	1579	0.1022	0.17065	0.3800625	0.221014246575342	0.0274	0.0238	23	36	25	0.376909090909091	0.271681818181818	115	0	0	0	0.0635	0.1033	24	35	0.281041666666667	0.259457142857143	0.3915	0.342428571428571	0.1515775	-0.967861295335016
YDR162C	1	6.56	0.3326	0.247305	0.471495	0.525649576271186	0.5051	0.0926	17	8	38	0.384125	0.27	210	0	34	0.162679425837321	0.2249	0.4531	37	7	0.250108108108108	0.269428571428571	0.416108108108108	0.309714285714286	0.33677	-0.833112170151844
YDR164C	0	13.5	NA	NA	NA	0.233114917127072	0.5859	0.3741	NA	3	21	NA	NA	110	1	0	0	0.4239	0.6651	20	2	0.29415	0.2335	0.42155	0.545	0.322485	NA
YDR165W	1	85.6	0.3691	0.3214975	0.5400525	0.221383558558559	0.3392	0.1195	10	2	5	0.445444444444444	0.277222222222222	83	0	11	0.134146341463415	0.4886	0.5055	4	1	0.33575	0.446	0.46325	0.588	0.3488	-1.00932196970423
YDR167W	1	41.6	0.1302	0.1444675	0.341085	0.481007281553398	0.2475	0.0755	11	7	3	0.2568	0.2297	101	0	18	0.18	0.4109	0.2765	2	6	0.2735	0.293	0.575	0.363	0.247005	-1.25968410475785
YDR168W	0	176	0.3773	0.22369	0.414625	0.386158300395257	0.7527	0.0109	4	25	NA	0.332	0.247	78	1	0	0	NA	0.0335	NA	24	NA	0.200083333333333	NA	0.298916666666667	0.02706	NA
YDR169C	1	19.3	0.3789	0.2325625	0.4437775	0.640093762183236	0.5986	0.0503	9	14	8	0.465125	0.2645	396	0	10	0.0253164556962025	0.609	0.3754	7	13	0.291428571428571	0.281	0.577714285714286	0.380461538461538	0.1978625	-0.576092227402953
YDR171W	0	84.4	0.0536	0.02423	0.12086	0.6260704	0.7434	0.073	15	NA	19	0.210214285714286	0.185785714285714	85	1	0	0	0.1221	NA	18	NA	0.238444444444444	NA	0.251833333333333	NA	NA	-2.34325791272102
YDR172W	1	991	0.079	0.265465	0.47734	0.451504087591241	0.0902	0.028	7	6	28	0.373	0.2775	177	0	47	0.267045454545455	0.2683	0.0463	27	5	0.27962962962963	0.2522	0.374074074074074	0.3326	0.2637625	-0.698826437131003
YDR173C	0	25.6	0.0152	0.1800125	0.35435	0.324203943661972	0.1152	0.0131	3	19	6	0.1015	0.156	144	0	0	0	0.0388	0.032	5	18	0.289	0.248	0.3544	0.297555555555556	0.05652	NA
YDR174W	1	250	0.2508	0.075665	0.23408	0.525257317073171	0.7802	0.1603	14	16	35	0.305384615384615	0.224153846153846	173	0	282	1.63953488372093	0.189	0.3533	34	15	0.238735294117647	0.2516	0.341735294117647	0.3474	0.148535	-1.16115876739339
YDR175C	0	44.3	0.044	0.0680675	0.1873175	0.365805956112853	0.1808	0.0486	25	29	NA	0.303875	0.223125	115	1	0	0	NA	0.0922	NA	28	NA	0.247464285714286	NA	0.406035714285714	0.11008	-0.788245048198957
YDR176W	1	27.7	0.5822	0.4204925	0.6306875	0.583189173789174	0.5656	0.693	10	12	6	0.337	0.296444444444444	53	0	6	0.115384615384615	0.3381	0.4804	5	11	0.2632	0.306909090909091	0.3534	0.443909090909091	0.3263775	-1.68799820669288
YDR177W	1	110	0.4228	0.4740375	0.6759225	0.335703255813953	0.4524	0.2478	12	3	2	0.468181818181818	0.327363636363636	112	0	33	0.297297297297297	0.2849	0.3036	1	2	0.411	0.3515	0.781	0.3395	0.4216	-1.08124248781718
YDR178W	0	117	NA	NA	NA	0.153566850828729	0.4525	0.0117	NA	12	2	NA	NA	197	1	0	0	0.5017	0.1452	1	11	0.361	0.247636363636364	0.394	0.413545454545455	0.2546275	NA
YDR179C	1	7.53	0.1004	0.170895	0.38248	0.15889012345679	0.1327	0.2473	17	4	8	0.3610625	0.26075	122	0	8	0.0661157024793388	0.3659	0.2066	7	3	0.333571428571429	0.277	0.500428571428571	0.346666666666667	0.3436	-0.679283330050397
YDR180W	0	30.1	0.0813	0.143865	0.3214	0.121588881446751	0.1666	0.069	5	9	NA	0.151	0.17125	52	1	0	0	NA	0.1253	NA	8	NA	0.241875	NA	0.26575	0.177105	-1.26530231872086
YDR181C	1	11.2	0.1964	0.1397175	0.3057025	0.484199376299376	0.4378	0.0594	5	2	4	0.29575	0.20475	185	0	1	0.00543478260869565	0.4593	0.3053	3	1	0.255666666666667	0.143	0.397666666666667	0.263	0.26904	-1.22114643480103
YDR182W	0	38.4	NA	NA	NA	0.231173116089613	0.0017	0.0037	NA	NA	NA	NA	NA	25	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR183W	1	21.9	0.2838	0.319805	0.5408025	0.301628695652174	0.4966	0.1577	16	3	2	0.3598	0.2612	196	0	10	0.0512820512820513	0.4766	0.4583	1	2	0.342	0.359	0.285	0.4945	0.3913675	-1.12398193735309
YDR185C	1	8.27	0.0356	0.050705	0.1904725	0.218010055865922	0.1255	0.0273	37	23	20	0.357944444444444	0.258694444444444	125	0	4	0.032258064516129	0.0263	0.1269	19	22	0.274842105263158	0.284545454545455	0.384789473684211	0.411	0.1595225	-1.2717775008289
YDR186C	1	6.1	0.6807	0.5872775	0.7606175	0.499619612314709	0.5096	0.4588	23	2	5	0.422227272727273	0.309545454545455	121	0	9	0.075	0.3	0.433	4	1	0.242	0.446	0.29225	0.588	0.3488	-1.53054319504071
YDR188W	0	116	NA	NA	NA	0.234670146520147	0.4751	0.0142	1	NA	4	NA	NA	164	1	0	0	0.7504	NA	3	NA	0.411333333333333	NA	0.487	NA	NA	NA
YDR189W	1	95.7	0.0999	0.06681	0.211025	0.261260810810811	0.5956	0.0903	30	4	11	0.358241379310345	0.231034482758621	115	0	5	0.043859649122807	0.4205	0.5204	10	3	0.2306	0.173	0.3234	0.205666666666667	0.201155	-0.848535562403179
YDR190C	1	220	0.1251	0.3760525	0.5676625	0.272363930885529	0.1679	0.2932	2	6	11	0.665	0.364	76	0	32	0.426666666666667	0.2999	0.1827	10	5	0.2985	0.305	0.5118	0.458	0.3367225	NA
YDR191W	0	5.52	0.0077	0.0361825	0.1362925	0.262958648648649	0.0231	0.005	29	12	NA	0.282821428571429	0.223428571428571	110	1	0	0	NA	0.1508	NA	11	NA	0.292181818181818	NA	0.454181818181818	0.3346875	-1.09144798644724
YDR192C	0	1.99	NA	NA	NA	0.586520930232558	0.5017	0.0808	1	NA	11	NA	NA	91	1	0	0	0.5008	NA	10	NA	0.332	NA	0.4773	NA	NA	NA
YDR194C	1	188	0.5811	0.389695	0.5867975	0.295364608433735	0.6482	0.1096	3	15	27	0.491	0.4035	154	0	42	0.274509803921569	0.5441	0.3056	26	14	0.288576923076923	0.297857142857143	0.421730769230769	0.443357142857143	0.2290175	NA
YDR195W	0	78.1	0.5136	0.2526675	0.4542425	0.430050656660413	0.6182	0.0244	5	NA	3	0.2855	0.1875	85	1	0	0	0.6984	NA	2	NA	0.2965	NA	0.3915	NA	NA	-1.07760824537172
YDR196C	1	21.7	0.4831	0.358055	0.550475	0.176646058091286	0.3316	0.0146	2	10	6	0.437	0.269	90	0	3	0.0337078651685393	0.2442	0.0538	5	9	0.2454	0.208555555555556	0.3086	0.231444444444444	0.077795	NA
YDR197W	0	21.8	0.0183	0.18372	0.37704	0.157521079691517	0.0533	0.0067	8	NA	12	0.279285714285714	0.239142857142857	130	1	0	0	0.0279	NA	11	NA	0.255090909090909	NA	0.370272727272727	NA	NA	-0.751371064955234
YDR198C	0	10.6	0.0887	0.2092875	0.414405	0.0778870563674321	0.0513	0.0249	8	NA	4	0.445714285714286	0.291142857142857	35	1	0	0	0.0975	NA	3	NA	0.231666666666667	NA	0.234	NA	NA	-1.32251271182808
YDR200C	1	10.2	0.343	0.2635	0.47784	0.530655960264901	0.262	0.2397	10	21	31	0.416888888888889	0.286666666666667	131	0	19	0.146153846153846	0.4569	0.32	30	20	0.303366666666667	0.283	0.433533333333333	0.38845	0.2634225	-0.913876753436781
YDR201W	0	7.09	NA	NA	NA	0.46282	0.4313	0.0153	NA	19	2	NA	NA	118	1	0	0	0.4801	0.0178	1	18	0.278	0.202944444444444	0.713	0.299722222222222	0.0169025	NA
YDR202C	0	34.3	0.4636	0.49156	0.6865275	0.187790883190883	0.2967	0.4636	11	3	NA	0.3659	0.2834	35	1	0	0	NA	0.0925	NA	2	NA	0.156	NA	0.1015	0.1800125	-0.681963130805664
YDR204W	1	14.9	0.3982	0.3063925	0.5284475	0.200354925373134	0.5304	0.1378	11	18	39	0.4313	0.255	162	0	14	0.0869565217391304	0.0787	0.2015	38	17	0.234447368421053	0.255117647058824	0.362184210526316	0.357294117647059	0.18567	-0.920856400857868
YDR205W	1	13.9	0.0325	0.03025	0.146605	0.131093784530387	0.636	0.0163	20	11	14	0.269684210526316	0.220526315789474	98	0	3	0.0309278350515464	0.0601	0.0479	13	10	0.203692307692308	0.1873	0.308615384615385	0.2752	0.0575175	-0.626259901268491
YDR206W	1	4.27	0.0069	0.008995	0.075155	0.256033257918552	0.6856	0.0111	14	18	8	0.198615384615385	0.162846153846154	105	0	3	0.0288461538461538	0.2011	0.0957	7	17	0.218857142857143	0.219235294117647	0.293857142857143	0.282764705882353	0.10752	-1.72623302985312
YDR208W	1	6.04	0.6474	0.37621	0.5782675	0.452090243902439	0.7164	0.0407	5	15	2	0.33825	0.2605	135	0	5	0.0373134328358209	0.8375	0.3566	1	14	0.411	0.251285714285714	0.781	0.432571428571429	0.3175625	-1.93953759469598
YDR211W	1	432	0.7319	0.4426125	0.6423475	0.222544662921348	0.5854	0.0773	8	19	14	0.561428571428571	0.301	153	0	19	0.125	0.5201	0.0657	13	18	0.279692307692308	0.227555555555556	0.481923076923077	0.316111111111111	0.0667625	-1.59547658837938
YDR212W	1	119	0.6108	0.1337875	0.2952875	0.212294096601073	0.8872	0.0999	4	14	16	0.228	0.163333333333333	89	0	54	0.613636363636364	0.4346	0.0472	15	13	0.263266666666667	0.173615384615385	0.364	0.178846153846154	0.02	NA
YDR213W	0	8.78	NA	NA	NA	0.437815005476451	0.1263	0.021	1	NA	12	NA	NA	41	1	0	0	0.118	NA	11	NA	0.324818181818182	NA	0.495636363636364	NA	NA	NA
