Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile
YDR427W	0	219	0.0235	0.156265	0.341652887449376	0.108096692111959	0.196	0.0845	7	NA	16	0.3155	0.200333333333333	83	1
YDR428C	1	2.16	NA	NA	NA	0.165522222222222	0.016	0.0035	1	19	3	NA	NA	109	0
YDR429C	1	41.8	0.0939	0.0942825	0.262429921678042	0.462813503649635	0.2605	0.1415	11	23	18	0.2772	0.1937	101	0
YDR430C	1	86.9	0.0286	0.085805	0.233924881505117	0.244412032355915	0.3969	0.0086	7	3	5	0.161333333333333	0.178833333333333	56	0
YDR434W	1	78.4	0.3736	0.370085	0.572006553694868	0.125657490636704	0.3445	0.0874	4	2	12	0.318333333333333	0.283666666666667	116	0
YDR435C	1	7.78	0.0085	0.0132125	0.109860239094831	0.128047865853659	0.068	0.0054	49	8	10	0.258854166666667	0.203458333333333	161	0
YDR436W	1	5.21	0.3937	0.32762	0.538684777143435	0.498931126760563	0.431	0.027	5	3	45	0.374	0.3165	163	0
YDR438W	0	1.2	NA	NA	NA	0.0379345945945946	0.0462	0.0019	NA	2	15	NA	NA	101	1
YDR439W	1	17.7	0.1249	0.077705	0.24383900544343	0.564849567723343	0.4674	0.0496	19	25	2	0.395388888888889	0.209277777777778	101	0
YDR440W	1	21.2	0.292	0.269015	0.479921778235281	0.333150859106529	0.5458	0.3719	7	14	4	0.312	0.239166666666667	104	0
YDR441C	1	13.5	0.0035	0.0168325	0.114226174821458	0.0780226519337017	0.0593	6e-04	22	2	29	0.319142857142857	0.202428571428571	243	0
YDR447C	1	1488	0.7439	0.34567	0.543732161170384	0.369801470588235	0.5587	0.0624	3	5	7	0.519	0.332	117	0
YDR448W	1	23.4	0.3035	0.4906475	0.680581103861105	0.298034101382488	0.1032	0.0894	5	13	8	0.5315	0.3995	104	0
YDR449C	0	119	0.0057	0.02515	0.142282723669389	0.175563409090909	0.032	0.0055	20	8	NA	0.244315789473684	0.221789473684211	69	1
YDR450W	1	1096	0.5481	0.29874	0.514401289837218	0.303261643835616	0.6995	0.1068	8	2	24	0.384428571428571	0.273714285714286	116	0
YDR451C	1	2.33	0.1659	0.133115	0.347981325370187	0.54554164305949	0.4352	0.0871	22	11	9	0.334333333333333	0.244761904761905	211	0
YDR452W	1	7.87	0.0114	0.02478	0.137849001479147	0.271804747774481	0.1424	0.0054	29	2	6	0.304928571428571	0.213285714285714	166	0
YDR453C	1	57.9	0.6062	0.53825	0.720804762843752	0.177808673469388	0.446	0.1959	10	5	12	0.481555555555556	0.293444444444444	86	0
YDR454C	1	581	0.0658	0.2591525	0.463592045004206	0.268124598930481	0.1097	0.0758	5	2	9	0.45075	0.2115	102	0
YDR456W	0	14.6	0.1187	0.0493175	0.185441889262328	0.156460505529226	0.8159	0.0606	12	NA	3	0.277090909090909	0.191	107	1
YDR458C	1	32.7	0.0084	0.0182325	0.118966905270376	0.42174766214178	0.1715	0.0035	20	23	25	0.261684210526316	0.203210526315789	173	0
YDR459C	1	1.11	0.035	0.0541925	0.210078168948687	0.0829417112299465	0.3421	0.053	29	45	2	0.344357142857143	0.217392857142857	166	0
YDR460W	0	34	0.0426	0.139085	0.331062517229169	0.272466666666667	0.0788	0.0126	10	NA	5	0.235555555555556	0.211111111111111	101	1
YDR461W	1	284	0.0064	0.02566	0.14142931620801	0.439297222222222	0.1258	0.0045	30	26	39	0.328551724137931	0.221206896551724	149	0
YDR462W	1	68.1	NA	NA	NA	0.372196598639456	0.2919	0.0511	1	3	14	NA	NA	124	0
YDR463W	1	12.3	0.2649	0.254025	0.496227115319433	0.451101926782274	0.2298	0.0729	40	7	2	0.348794871794872	0.277615384615385	204	0
YDR465C	1	68.7	0.0058	0.24963	0.430844194454267	0.243464805825243	0.0113	0.027	2	4	6	0.195	0.147	183	0
YDR466W	0	0.206	0.1872	0.0653125	0.229657206504045	0.437577171492205	0.6514	0.1302	21	NA	4	0.3088	0.2207	163	1
YDR468C	0	1.65	NA	NA	NA	0.486026785714286	0.0033	0.0663	NA	6	20	NA	NA	103	1
YDR469W	0	12.6	NA	NA	NA	0.661426285714286	0.6457	0.0444	1	6	NA	NA	NA	68	1
YDR470C	1	14.1	0.041	0.0725025	0.256768766613135	0.188927290836653	0.1769	0.0118	44	39	4	0.410627906976744	0.238627906976744	174	0
YDR471W	1	977	0.005	0.0179125	0.115188627705977	0.301511029411765	0.1597	0.0609	18	34	8	0.273647058823529	0.199647058823529	118	0
YDR472W	1	75.2	0.1257	0.3143925	0.535354433346275	0.267887279151943	0.0852	0.0684	10	16	8	0.357555555555556	0.261777777777778	125	0
YDR473C	0	14.5	NA	NA	NA	0.441769509594883	0.2061	0.0119	NA	7	14	NA	NA	85	1
YDR475C	1	21.4	0.0276	0.0319025	0.153399520485964	0.512834703196347	0.5104	0.046	18	12	15	0.273588235294118	0.206764705882353	110	0
YDR477W	1	104	0.2353	0.17594	0.377896204285163	0.345082780410742	0.1984	0.0895	7	18	5	0.320833333333333	0.278	138	0
YDR478W	1	4.41	0.2504	0.2552	0.452281070380952	0.375872727272727	0.4378	0.187	5	8	10	0.308	0.24175	76	0
YDR479C	1	46.5	0.5493	0.3600675	0.553524870763015	0.288139530685921	0.5249	0.0548	2	21	18	0.401	0.272	89	0
YDR481C	0	60.1	0.0345	0.072655	0.228251116034488	0.298213250883392	0.3494	0.0125	13	NA	4	0.340083333333333	0.204416666666667	56	1
YDR482C	1	9.31	0.8886	0.4255	0.616280247218255	0.708317037037037	0.8157	0.3442	3	19	12	0.462	0.3165	103	0
YDR483W	0	354	0.0033	0.0078725	0.0773422045552429	0.177471040723982	0.2132	0.0056	22	11	37	0.220285714285714	0.187619047619048	113	0
YDR484W	1	35.6	NA	NA	NA	0.226380187207488	0.3203	0.0103	1	7	20	NA	NA	85	0
YDR485C	1	8.32	0.3655	0.2732425	0.481596325890139	0.634835849056604	0.4429	0.0251	6	11	2	0.349	0.2538	151	0
YDR486C	0	29.1	0.0625	0.039265	0.186540646621651	0.576125327510917	0.843	0.0625	47	26	34	0.423847826086957	0.2505	143	0
YDR487C	0	294	0.0287	0.047425	0.198818070430829	0.328009134615385	0.1681	0.0258	32	3	24	0.276870967741936	0.210516129032258	103	0
YDR489W	1	3.69	0.0069	0.015865	0.11704129424822	0.274209523809524	0.0486	0.0168	46	45	48	0.305666666666667	0.212888888888889	416	0
YDR490C	0	6.22	0.7489	0.2831575	0.486546558479989	0.35787637075718	0.8424	0.2069	4	NA	16	0.245	0.220333333333333	82	1
YDR492W	0	2.86	0.0055	0.0754925	0.235741361701722	0.0399373417721519	0.0143	0.0035	10	22	12	0.260444444444444	0.255666666666667	70	0
YDR493W	0	5.38	NA	NA	NA	0.495265040650407	0.5197	0.0263	1	4	31	NA	NA	103	0
YDR494W	0	8.29	0.0298	0.05208	0.190408082558763	0.513675069252078	0.2951	0.0161	12	15	25	0.232272727272727	0.218363636363636	73	0
YDR496C	0	252	0.008	0.048455	0.184435030676587	0.2939	0.2528	0.0473	12	5	NA	0.246636363636364	0.211818181818182	73	1
YDR497C	1	85.9	0.3178	0.473175	0.678014361107104	0.115654623287671	0.1962	0.1083	12	21	6	0.420454545454545	0.307	108	0
YDR498C	1	49.3	NA	NA	NA	0.181137336814621	0.0879	0.006	1	7	9	NA	NA	49	0
YDR499W	1	10.9	0.1526	0.2309275	0.466208091652468	0.214925167336011	0.1606	0.0783	24	13	17	0.325391304347826	0.258304347826087	121	0
YDR500C	1	452	0.6089	0.24268	0.42520237235285	0.583426136363636	0.5872	0.037	2	12	16	0.09	0.125	86	0
YDR501W	1	1.22	0.2338	0.191295	0.4102096341997	0.413288291746641	0.3232	0.0883	23	13	15	0.442590909090909	0.248136363636364	172	0
YDR502C	1	732	0.1898	0.317365	0.525799826186469	0.248362239583333	0.1864	0.0318	5	3	47	0.39425	0.28325	292	0
YDR503C	1	7.51	NA	NA	NA	0.0430664233576642	0.0582	0.0648	1	33	21	NA	NA	211	0
YDR507C	1	66.2	0.1275	0.23852	0.424766030939004	0.442127057793345	0.272	0.0016	2	4	33	0	0.101	180	0
YDR508C	0	330	NA	NA	NA	0.192679185520362	0.0095	0.0208	NA	NA	NA	NA	NA	16	1
YDR510W	1	140	0.6285	0.40608	0.600757194767099	0.528815841584158	0.5157	0.3584	3	30	7	0.56	0.322	143	0
YDR511W	0	12.1	0.1291	0.041825	0.177919389200594	0.333643609022556	0.7527	0.1555	10	9	26	0.299333333333333	0.205111111111111	84	0
YDR513W	1	364	0.0339	0.1946975	0.386106904550397	0.172295804195804	0.1636	0.0048	5	2	23	0.3235	0.2725	83	0
YDR515W	0	20.7	0.384	0.2130225	0.389088389651208	0.544652348993289	0.5661	0.0053	2	NA	16	0.117	0.136	76	1
YDR516C	1	144	0.0035	0.0144025	0.108521143644676	0.2114082	0.0356	0.0067	34	6	11	0.301212121212121	0.221575757575758	117	0
YDR517W	1	124	0.0305	0.005495	0.066401820789644	0.342695967741936	0.9083	0.0366	19	28	5	0.201444444444444	0.181388888888889	104	0
YDR518W	0	6.2	0.0661	0.0887525	0.259246900329771	0.164981624758221	0.5913	0.0388	14	4	3	0.266230769230769	0.221307692307692	51	0
YDR519W	1	279	0.0762	0.119035	0.323332685592519	0.103507407407407	0.087	0.0356	24	31	2	0.326739130434783	0.23495652173913	226	0
YDR524C	1	8.35	0.471	0.283575	0.475728701734879	0.262172199170124	0.5601	0.1032	3	6	14	0.1745	0.197	308	0
YDR525W-A	1	231	0.0693	0.31895	0.550941785496724	0.0280569620253165	0.0677	0.0041	16	14	2	0.461466666666667	0.267133333333333	228	0
YDR527W	0	26.9	0.2352	0.3152825	0.544898166939962	0.405256492027335	0.1668	0.2461	18	NA	2	0.436882352941176	0.260235294117647	79	1
YDR528W	1	6.4	NA	NA	NA	0.487221749408983	0.0826	0.16	1	3	25	NA	NA	140	0
YDR529C	1	422	0.4747	0.46444	0.657940467987542	0.182748818897638	0.4399	0.1879	4	19	58	0.716666666666667	0.422666666666667	189	0
YDR530C	1	43.5	0.0333	0.069725	0.226036672350604	0.303442769230769	0.3705	0.0812	13	17	4	0.286333333333333	0.194833333333333	152	0
YDR531W	1	63.1	0.0158	0.02577	0.137373203568965	0.176530245231608	0.5097	0.0081	17	9	2	0.2370625	0.195375	79	0
YDR532C	0	8.54	NA	NA	NA	0.282213766233766	0.1304	0.1845	NA	2	5	NA	NA	61	1
YDR533C	0	66.6	0.2939	0.3809775	0.582877757822056	0.216238396624473	0.3332	0.0417	4	20	7	0.491666666666667	0.311	70	0
YDR534C	1	0.047	0.1595	0.288205	0.512002987470877	0.55567803030303	0.0812	0.059	13	32	4	0.408166666666667	0.258833333333333	227	0
YDR536W	0	0.077	0.0632	0.03942	0.179737310397197	0.129524253075571	0.6147	0.0649	29	11	NA	0.3175	0.227	147	1
YDR538W	1	26	0.0503	0.1587825	0.330620777972383	0.14468305785124	0.1881	0.0071	4	29	14	0.164333333333333	0.180333333333333	290	0
YDR539W	0	41.6	0.1404	0.328865	0.522390443471778	0.180961232604374	0.1369	0.1191	3	16	NA	0.5975	0.2445	61	1
YDR540C	1	3.86	NA	NA	NA	0.22646592178771	0.3103	0.0232	1	16	43	NA	NA	334	0
YEL001C	1	112	0.1943	0.28957	0.513992875970829	0.185310666666667	0.2301	0.0152	9	5	27	0.440875	0.29575	101	0
YEL002C	1	181	0.0215	0.1153825	0.284341478818094	0.163676511627907	0.2468	0.0064	8	16	12	0.363142857142857	0.205142857142857	88	0
YEL003W	1	37.3	0.0915	0.1073725	0.289771742418054	0.348900900900901	0.322	0.0555	10	4	32	0.278777777777778	0.221444444444444	139	0
YEL004W	1	1.49	0.1201	0.28165	0.490196073113709	0.0238207602339181	0.3903	0.0413	6	24	5	0.225	0.2266	113	0
YEL005C	0	2.41	0.0254	0.038355	0.175814944906384	0.287318439716312	0.1894	0.0254	24	10	3	0.294391304347826	0.215130434782609	72	0
YEL006W	1	15.6	0.1819	0.453875	0.659811922599289	0.137043880597015	0.0154	0.059	8	2	12	0.523571428571429	0.313	373	0
YEL009C	1	5.21	0.019	0.0191975	0.11513937216703	0.495325266903915	0.4586	0.0253	16	19	24	0.276266666666667	0.197266666666667	94	0
YEL011W	0	33.8	0.0069	0.0756475	0.224093990109823	0.164898863636364	0.0353	0.0666	8	14	35	0.210714285714286	0.189	113	0
YEL012W	0	22.3	0.0547	0.01436	0.103968175240933	0.444749082568807	0.8565	0.0844	20	17	NA	0.200052631578947	0.196157894736842	110	1
YEL013W	1	183	0.0125	0.015975	0.113197450424291	0.233806747404844	0.1415	0.0293	32	54	8	0.38041935483871	0.216387096774194	450	0
YEL015W	0	41.9	NA	NA	NA	0.377287295825771	0.0161	0.0281	NA	6	8	NA	NA	55	1
YEL016C	0	2.04	0.0254	0.07587	0.24506444225706	0.145008113590264	0.398	0.0336	19	29	4	0.266833333333333	0.214944444444444	91	0
YEL017C-A	1	891	0.0516	0.2878475	0.516365272951139	0.00795116279069767	0.0235	0.0045	15	4	27	0.447571428571429	0.2605	466	0
YEL017W	0	31.9	0.0025	0.03731	0.170876718369947	0.265403264094955	0.0013	0.0021	25	NA	13	0.275291666666667	0.205	92	1
YEL018W	0	11.2	NA	NA	NA	0.359062724014337	0.2452	0.1203	NA	3	11	NA	NA	83	1
YEL020W-A	0	705	0.0092	0.014515	0.11096971556737	0.300662068965517	0.4329	0.0137	30	15	9	0.313103448275862	0.216	93	0
YEL021W	1	217	0.2807	0.25196	0.454246315781189	0.214386516853933	0.2977	0.0773	5	16	7	0.36175	0.252	82	0
YEL022W	1	91.6	0.4798	0.270785	0.468995125931425	0.186862988348184	0.7409	0.0582	3	11	6	0.197	0.231	75	0
YEL024W	1	61.4	0.0126	0.0285675	0.154137629941292	0.229337674418605	0.1478	0.0625	30	47	21	0.308896551724138	0.19448275862069	401	0
YEL026W	0	388	NA	NA	NA	0.14977380952381	0.0277	0.0042	NA	18	2	NA	NA	72	1
YEL027W	1	573	0.0372	0.26659	0.466818680526827	0.0069475	0.0096	0.0072	4	7	11	0.422333333333333	0.227666666666667	254	0
YEL029C	1	4.28	NA	NA	NA	0.104934935897436	0.038	0.003	1	35	5	NA	NA	363	0
YEL031W	1	202	NA	NA	NA	0.170514979423868	0.1679	7e-04	1	24	6	NA	NA	103	0
YEL032W	1	304	0.0931	0.2240775	0.431386337556125	0.401583110195675	0.2042	0.0059	7	33	53	0.219	0.233833333333333	185	0
YEL034W	0	1118	0.4934	0.4008	0.59688574175981	0.395198089171975	0.4168	0.5334	3	NA	NA	0.419	0.2705	28	1
YEL036C	1	10.5	0.4609	0.077605	0.243691216806389	0.335045	0.9351	0.3481	15	5	10	0.330857142857143	0.241071428571429	83	0
YEL037C	1	304	0.3076	0.2835575	0.497826925537645	0.591811055276382	0.3608	0.1156	8	3	20	0.344142857142857	0.229571428571429	148	0
YEL038W	0	40.3	0.0435	0.1177925	0.301453462611487	0.199140969162996	0.2744	0.0144	11	NA	8	0.3099	0.2291	52	1
YEL039C	0	25.1	NA	NA	NA	0.45018407079646	0.3964	0.0148	NA	23	15	NA	NA	110	1
YEL040W	1	57	0.4425	0.37027	0.599353531575213	0.328152890792291	0.1209	0.2386	22	9	6	0.356285714285714	0.296380952380952	100	0
YEL041W	1	3.95	0.2751	0.24499	0.474964762504083	0.231151919191919	0.4011	0.1293	14	64	10	0.451153846153846	0.245384615384615	255	0
YEL042W	1	235	0.0287	0.1074375	0.300656508136191	0.252369111969112	0.0786	0.0104	20	33	2	0.342578947368421	0.248052631578947	145	0
YEL043W	0	12.7	0.5953	0.210635	0.399463003140927	0.496158054393305	0.7984	0.1196	4	13	16	0.228666666666667	0.181333333333333	96	0
YEL044W	1	28.3	0.0115	0.03664	0.168027455647034	0.475188554216867	0.1349	0.07	19	12	10	0.296277777777778	0.2015	115	0
YEL046C	1	1928	0.0074	0.0296125	0.146678625355111	0.198193023255814	0.2138	0.0156	15	43	11	0.300571428571429	0.175071428571429	585	0
YEL048C	1	83.1	0.0064	0.1202675	0.28137452967027	0.0621559210526316	0.028	0.0329	5	16	2	0.146	0.149	540	0
YEL049W	1	0.981	0.2422	0.4427575	0.643288860475308	0.134783333333333	0.1158	0.0388	6	12	16	0.51	0.2928	155	0
YEL050C	1	23.4	0.71	0.2765525	0.470595066036885	0.403766666666667	0.8274	0.1114	3	27	2	0.2635	0.197	170	0
YEL051W	1	148	0.2664	0.29441	0.522625647929012	0.33491171875	0.3768	0.0971	13	17	27	0.386583333333333	0.28575	101	0
YEL052W	0	48.3	0.0373	0.0600175	0.220003671658183	0.174393123772102	0.3213	0.0545	20	4	NA	0.332526315789474	0.236421052631579	67	1
YEL053C	0	29	0.1593	0.1796775	0.393553487653488	0.12321446111869	0.205	0.067	12	6	NA	0.348181818181818	0.243090909090909	82	1
YEL054C	1	1524	0.3356	0.18531	0.400066683820996	0.374573939393939	0.4525	0.0085	11	4	20	0.462	0.3088	241	0
YEL055C	1	102	0.0126	0.0243475	0.134297570589219	0.206240019569472	0.2328	0.0093	19	2	16	0.281555555555556	0.197388888888889	71	0
YEL056W	1	12	0.0152	0.0267225	0.148860508307227	0.376455112219451	0.4334	0.0122	25	15	3	0.276083333333333	0.222083333333333	111	0
YEL058W	1	242	0.0862	0.1365475	0.326871828205341	0.161356552962298	0.2008	0.1047	11	7	9	0.342	0.2272	75	0
YEL059C-A	1	3.95	0.0957	0.1095975	0.279940276075262	0.281571621621622	0.4345	0.0443	10	12	8	0.293888888888889	0.225333333333333	52	0
YEL060C	1	90.4	0.0062	0.0985225	0.24467965680328	0.432074330708661	0.0449	0.0023	4	18	45	0.108	0.132333333333333	245	0
YEL061C	1	4.9	0.171	0.1177575	0.307734904774177	0.4107389	0.6323	0.3999	15	13	2	0.372357142857143	0.225428571428571	124	0
YEL062W	1	5.62	0.1272	0.133635	0.359057209251941	0.263747967479675	0.2599	0.0598	38	2	18	0.372702702702703	0.249972972972973	140	0
YEL063C	1	55.6	0.0019	0.24268	0.42520237235285	0.11838	0.0142	0.0115	2	8	21	0.09	0.125	290	0
YEL064C	0	0.021	0.006	0.042245	0.174380224478669	0.0905816666666667	0.1583	0.0035	12	14	10	0.255363636363636	0.207818181818182	327	0
YEL065W	1	6.45	0.0228	0.06334	0.213153837313964	0.0538759554140128	0.1921	0.0199	13	17	7	0.261083333333333	0.202083333333333	76	0
YEL066W	1	14.6	0.0663	0.2529225	0.461399096673478	0.239312849162011	0.0966	0.0641	6	11	5	0.2466	0.2212	78	0
YEL071W	0	667	0.0095	0.03675	0.171334004264689	0.191883669354839	0.1571	0.0099	30	6	4	0.302172413793104	0.222655172413793	93	0
YEL072W	1	1.42	0.038	0.139285	0.332250610098772	0.127641125541126	0.1005	0.0264	11	3	14	0.3846	0.2348	310	0
YER001W	1	64.7	0.1293	0.07283	0.2378663612291	0.211813779527559	0.6791	0.0559	14	9	4	0.287230769230769	0.211846153846154	105	0
YER002W	0	72.7	0.4861	0.3570575	0.578678716743126	0.514477922077922	0.3264	0.06	11	29	8	0.3273	0.2592	95	0
YER003C	1	214	0.0036	0.0079925	0.0742705547185539	0.322538927738928	0.3184	0.0028	12	22	7	0.196363636363636	0.161181818181818	81	0
YER004W	1	54.8	0.0223	0.046795	0.200757641748552	0.211166233766234	0.1089	0.0035	37	16	53	0.304861111111111	0.230027777777778	262	0
YER005W	0	9.63	0.0271	0.0664725	0.219108683303524	0.206922380952381	0.1569	0.1146	9	8	NA	0.179625	0.195125	112	1
YER006W	0	286	0.5936	0.293105	0.495501003463801	0.387234230769231	0.5618	0.0386	5	NA	2	0.33825	0.20775	61	1
YER007C-A	1	150	0.2866	0.361435	0.584139474960825	0.189769613259668	0.1201	0.4796	15	18	25	0.504214285714286	0.268357142857143	88	0
YER007W	1	19.4	0.1963	0.1963725	0.398935273637393	0.161706756756757	0.5107	0.0203	9	6	5	0.345125	0.231875	145	0
YER009W	1	34.4	0.0557	0.1526425	0.362228878395372	0.207408	0.0406	0.0553	18	4	25	0.414411764705882	0.251	165	0
YER010C	0	9.06	0.0034	0.0099775	0.0867038477836379	0.205176495726496	0.2905	0.0041	24	23	NA	0.228130434782609	0.193739130434783	88	1
YER011W	1	8.95	0.0536	0.140405	0.310595776928955	0.453220866141732	0.2436	0.1146	5	10	21	0.22675	0.16825	79	0
YER012W	1	221	0.119	0.1878325	0.402400153634863	0.203181818181818	0.2676	0.0239	11	19	6	0.3638	0.2693	130	0
YER014W	0	89.8	0.1658	0.197125	0.420982263339716	0.265440630797774	0.2265	0.1769	17	7	23	0.352125	0.239625	89	0
YER015W	1	13.4	0.0643	0.0964675	0.279899180478125	0.159163709677419	0.2088	0.0332	17	38	4	0.317875	0.2366875	254	0
YER016W	0	38.4	0.4238	0.3781725	0.580467111083286	0.386299709302326	0.455	0.013	4	2	38	0.443	0.298666666666667	114	0
YER017C	0	51.6	0.1862	0.136745	0.363449356291745	0.31280197109067	0.9	0.1526	51	4	31	0.3782	0.24818	162	0
YER018C	1	32	0.0079	0.0447375	0.183168775072713	0.369058371040724	0.0146	0.0104	19	14	16	0.324277777777778	0.241611111111111	73	0
YER019C-A	0	36.7	0.0175	0.291045	0.485792557573811	0.279825	0.0103	0.0048	3	NA	14	0.389	0.2755	54	1
YER019W	0	18.2	0.0032	0.02507	0.13973193425957	0.153158280922432	0.0915	0.0051	24	17	7	0.293347826086957	0.234	82	0
YER020W	1	60.3	0.2101	0.38656	0.584644016755463	0.380223830734967	0.1556	0.2003	4	39	21	0.421	0.235333333333333	172	0
YER021W	1	172	0.2319	0.4070725	0.61738696262641	0.181779541108987	0.3052	0.022	7	6	4	0.397	0.3315	127	0
YER022W	0	47.6	NA	NA	NA	0.348026491994178	0.069	0.034	NA	3	14	NA	NA	100	1
YER023W	0	1288	0.0171	0.02455	0.137067708733732	0.223843006993007	0.4244	0.0149	21	5	NA	0.26685	0.19675	70	1
YER025W	1	555	0.5419	0.528255	0.721049532311162	0.292942504743833	0.1981	0.1038	13	4	15	0.44525	0.304833333333333	259	0
YER026C	0	0.567	NA	NA	NA	0.158514130434783	0.067	0.0035	1	NA	26	NA	NA	128	1
YER027C	1	46.7	0.0433	0.24268	0.42520237235285	0.60115035971223	0.1123	0.0104	2	12	25	0.09	0.125	246	0
YER028C	1	2.79	0.5018	0.4460725	0.645037970848582	0.570703045685279	0.3647	0.5713	5	4	11	0.60375	0.3185	55	0
YER029C	1	16.1	0.8828	0.358055	0.550477697409763	0.574193367346939	0.9149	0.1732	2	4	6	0.437	0.269	92	0
YER030W	1	24.5	NA	NA	NA	0.804677777777778	0.9143	0.1396	1	36	28	NA	NA	121	0
YER031C	1	139	0.0209	0.05081	0.197864622966671	0.351546188340807	0.6596	0.0226	13	12	19	0.3575	0.210416666666667	143	0
YER032W	1	1.03	0.3756	0.193915	0.413461738052379	0.638779223744292	0.6659	0.0788	12	21	16	0.457636363636364	0.324454545454545	198	0
YER035W	1	20.5	0.0838	0.0556625	0.19696208134137	0.733284137931035	0.5812	0.0084	12	31	2	0.277454545454545	0.187363636363636	140	0
YER036C	1	503	0.0372	0.24963	0.430844194454267	0.265940327868852	0.0517	0.0396	2	26	19	0.195	0.147	103	0
YER037W	1	4.04	0.2052	0.2031475	0.409712468541707	0.168201246105919	0.4193	0.0297	10	4	40	0.405666666666667	0.270444444444444	221	0
YER038C	1	2.44	0.0232	0.412135	0.60586873247827	0.223348922413793	0.0131	0.0069	3	8	6	0.689	0.321	753	0
YER040W	1	8.45	0.017	0.021075	0.123749502904008	0.610869863013699	0.198	0.0045	20	16	13	0.258684210526316	0.196894736842105	263	0
YER041W	0	2.54	0.6224	0.4883525	0.69394843688017	0.296318181818182	0.4925	0.4174	34	2	24	0.455060606060606	0.289333333333333	169	0
YER042W	1	84.8	0.0675	0.16319	0.330213170376813	0.2611625	0.3094	0.0303	3	18	17	0.156	0.1415	68	0
YER043C	1	2889	0.004	0.0232775	0.127042814005886	0.136378619153675	0.2259	0.1553	15	23	31	0.322928571428572	0.202357142857143	234	0
YER044C	1	31.2	0.0076	0.2130225	0.389088389651208	0.0407452702702703	0.0114	0.0077	2	4	36	0.117	0.136	124	0
YER045C	1	1.26	0.0322	0.04377	0.181844891146643	0.504310224948875	0.2981	0.0051	18	23	17	0.339882352941177	0.223058823529412	147	0
YER046W	0	1.33	NA	NA	NA	0.177969230769231	0.2249	0.0729	1	NA	6	NA	NA	55	1
YER048C	0	62.9	NA	NA	NA	0.408614322250639	0.6317	0.1914	NA	5	NA	NA	NA	120	1
YER048W-A	1	70.3	0.4788	0.2940425	0.493257059032317	0.274670212765957	0.3056	0.0316	4	10	93	0.31	0.235666666666667	335	0
YER049W	1	153	0.7302	0.3368925	0.549344972517752	0.265907298136646	0.6482	0.2144	7	3	9	0.433666666666667	0.257666666666667	93	0
YER050C	0	16.3	0.1479	0.26712	0.46718199511651	0.402594202898551	0.295	0.1814	5	12	37	0.2795	0.20775	111	0
YER051W	1	8.09	0.0118	0.036395	0.170787891597847	0.238444715447154	0.0745	0.0079	27	21	20	0.320884615384615	0.215538461538462	96	0
YER052C	0	630	0.0506	0.21251	0.414255634334474	0.207753320683112	0.1701	0.0049	8	13	37	0.411142857142857	0.217428571428571	111	0
YER053C	1	28.8	0.0487	0.13676	0.346192776846916	0.0737536666666667	0.0405	0.0215	25	11	2	0.355375	0.249916666666667	142	0
YER055C	1	359	0.7335	0.8038875	0.894747018230238	0.16036632996633	0.0798	0.1203	12	2	34	0.571636363636364	0.360272727272727	131	0
YER056C	1	143	0.0078	0.08055	0.256674355367654	0.0647193245778612	0.0049	0.0083	24	5	3	0.302260869565217	0.214	120	0
YER056C-A	1	937	0.1878	0.1285075	0.324885747435884	0.439759504132231	0.6631	0.0741	13	12	3	0.3485	0.245166666666667	78	0
YER057C	1	96.8	0.1491	0.185645	0.392915436967512	0.152741860465116	0.2769	0.0373	11	9	5	0.3725	0.2313	92	0
YER058W	1	0.819	0.1501	0.069055	0.235435489342985	0.514411214953271	0.5485	0.1553	20	6	33	0.363473684210526	0.211526315789474	149	0
YER059W	0	19.4	0.0182	0.105225	0.279007173996196	0.491514285714286	0.1559	0.004	7	NA	4	0.254833333333333	0.227	73	1
YER060W	0	2.1	0.0059	0.1917825	0.384306192901909	0.0703573863636364	0.006	0.0057	5	11	16	0.29725	0.267	131	0
YER061C	0	23.9	0.013	0.1779525	0.354022823083965	0.222855429864253	0.1027	0.0053	3	NA	15	0.113	0.187	61	1
YER062C	1	285	0.0944	0.320525	0.53696216329152	0.1987688	0.0248	0.0228	8	3	10	0.462	0.276	174	0
YER063W	1	114	0.1178	0.0447	0.178134136451493	0.75857752293578	0.8232	0.0256	12	37	44	0.360181818181818	0.235090909090909	147	0
YER065C	1	547	0.5483	0.451185	0.64560908710719	0.277680610412926	0.4943	0.1173	4	13	7	0.467333333333333	0.392666666666667	121	0
YER067W	1	121	0.3643	0.27177	0.50500904757512	0.372947826086956	0.345	0.1793	13	5	19	0.407833333333333	0.261083333333333	91	0
YER068W	0	86.8	0.279	0.1660825	0.372305120657601	0.484869846678024	0.3074	0.0781	11	4	22	0.3818	0.2486	99	0
YER069W	1	227	0.034	0.15929	0.362948307716037	0.187782271147161	0.0807	0.014	15	21	5	0.331357142857143	0.225285714285714	120	0
YER070W	1	3954	NA	NA	NA	0.239738963963964	0.3674	0.0143	1	31	4	NA	NA	207	0
YER072W	1	163	0.0302	0.1381275	0.349835721309562	0.0651720930232558	0.0214	0.0229	24	3	8	0.348173913043478	0.231086956521739	147	0
